ev_bin,la_bin,dir_bin,xBA
102,8,-10,0.8529411764705882
82,24,-10,0.1
93,18,-35,1.0
96,30,5,0.2222222222222222
103,27,-10,0.7058823529411765
102,10,-20,0.7045454545454546
87,-9,-35,0.2
92,5,10,0.25
83,21,-10,0.5833333333333334
97,-3,-5,0.8235294117647058
80,-27,-20,0.0
105,5,-25,0.6206896551724138
101,28,-30,1.0
68,-18,-35,0.2
91,8,-25,0.8888888888888888
67,0,15,0.2
81,12,-5,0.6363636363636364
103,18,-5,0.13333333333333333
95,15,20,0.6111111111111112
91,32,0,0.0
104,12,-15,0.9423076923076923
99,12,-15,0.8974358974358975
84,-24,-20,0.0
81,-24,-5,0.75
94,-13,-10,0.3684210526315789
85,15,30,1.0
101,19,0,0.4772727272727273
88,-24,-50,0.16666666666666666
106,24,-20,1.0
101,40,-30,0.4666666666666667
66,-32,0,1.0
88,6,-5,0.5555555555555556
82,19,10,0.7142857142857143
93,2,5,0.1111111111111111
79,15,-30,1.0
56,-42,-10,0.2
89,28,-15,0.0
81,62,0,0.0
91,-13,-15,0.0
74,-2,-15,0.1111111111111111
72,-15,-30,0.14285714285714285
80,-18,-40,0.0
79,36,-25,0.0
85,35,-5,0.0
75,-8,-5,0.625
90,8,-10,0.7777777777777778
90,-12,-10,0.375
96,-2,5,0.05263157894736842
71,5,-20,0.0
101,38,20,0.75
77,77,-60,0.0
43,-68,-65,0.0
104,11,-10,0.9310344827586207
92,17,5,0.8260869565217391
97,26,-35,1.0
56,10,-10,0.0
100,1,-10,0.7241379310344828
52,-59,-165,1.0
68,19,5,0.7142857142857143
48,-14,20,0.25
65,-18,40,0.0
95,16,5,0.75
74,-9,-40,0.1
89,11,-35,0.47058823529411764
95,31,20,0.38461538461538464
56,-44,-65,0.0
91,7,0,0.5
85,19,-5,0.3125
35,-6,-5,0.0
95,52,5,0.0
78,47,5,0.0
65,-67,-75,0.0
39,-55,-25,1.0
61,-2,-15,0.0
85,44,-10,0.125
79,67,-35,0.0
101,12,-35,1.0
60,-66,130,1.0
101,17,-5,0.1276595744680851
72,32,-10,0.5
101,12,20,0.75
103,35,-30,0.5833333333333334
73,66,40,0.0
88,30,10,0.07142857142857142
39,-30,175,0.0
93,8,-5,0.92
61,-23,-50,0.0
74,2,-30,0.5
94,31,5,0.16666666666666666
44,-64,125,0.0
70,21,10,0.875
84,58,10,0.0
71,85,-5,0.0
101,10,-35,0.8076923076923077
88,-24,0,0.375
98,54,-10,0.0
97,9,-45,0.8
45,-51,55,0.0
91,-21,-10,0.2857142857142857
105,4,15,0.8
101,-20,-20,0.0
85,8,-15,0.0
94,-11,-20,0.11764705882352941
90,7,0,0.29411764705882354
99,25,-5,0.18181818181818182
100,26,-10,0.43243243243243246
84,48,-20,0.0
101,-2,10,0.375
87,60,10,0.0
98,-37,15,0.0
93,-19,-20,0.0
96,64,-15,0.0
108,-5,-15,0.25
90,10,10,0.7692307692307693
91,13,20,0.9
97,-4,10,0.06666666666666667
103,36,-30,1.0
104,11,15,0.75
78,-58,-180,1.0
81,-28,15,0.0
91,20,25,0.7272727272727273
89,62,5,0.25
77,-15,-40,0.5
102,-7,-40,0.3333333333333333
105,5,-20,0.41935483870967744
99,2,0,0.68
94,-21,-55,0.5
107,-8,10,0.0
80,-49,-25,0.0
99,8,10,0.8
49,-48,-35,0.0
78,43,30,0.0
103,16,-30,0.8235294117647058
86,-1,10,0.125
66,54,40,0.0
98,-21,-10,0.0
99,-8,30,0.4
97,7,20,0.75
71,27,10,0.8333333333333334
72,-27,-50,0.0
85,-23,5,0.25
110,22,-25,1.0
99,-18,-45,0.0
77,-56,-85,0.0
79,-8,-35,0.0
103,-6,5,0.0
99,-3,-5,0.7894736842105263
106,0,-10,0.6842105263157895
101,16,-10,0.35
77,-48,-75,0.0
95,57,10,0.0
48,-58,120,1.0
100,7,-20,0.38636363636363635
101,22,5,0.5384615384615384
98,-5,-5,0.7
99,12,-5,0.875
93,-20,5,0.16666666666666666
92,2,20,0.625
35,-42,60,0.5
56,-53,-25,0.0
75,-12,-15,0.2
94,21,30,1.0
110,5,25,1.0
72,6,-10,0.5
100,15,15,0.07142857142857142
110,11,15,1.0
101,25,-30,1.0
112,14,-15,1.0
86,17,-15,0.9090909090909091
103,11,15,0.7692307692307693
90,-25,-15,0.0
102,-8,-25,0.14285714285714285
55,-16,-40,0.0
98,31,-15,0.375
60,6,15,0.0
97,7,25,0.7142857142857143
59,6,-20,0.0
101,13,30,1.0
95,-6,-25,0.34782608695652173
55,-55,30,0.0
102,28,-10,0.4864864864864865
99,14,5,0.9310344827586207
70,36,15,0.5
80,-29,-55,0.0
95,3,-10,0.8235294117647058
50,67,40,0.0
76,27,5,0.2
67,-27,-50,0.0
93,27,-25,0.2727272727272727
96,48,15,0.0
103,5,-40,0.4090909090909091
97,23,-25,0.3125
97,14,-5,0.7241379310344828
90,45,-5,0.09090909090909091
89,56,-15,0.0
99,30,-35,1.0
29,15,-40,0.0
102,25,-30,0.9310344827586207
64,-60,-40,1.0
103,9,-20,0.5555555555555556
92,-3,0,0.375
73,46,20,0.3333333333333333
74,-10,0,0.0
80,49,5,0.0
100,6,-5,0.8181818181818182
106,23,-35,1.0
98,0,-25,0.5
93,28,5,0.21875
96,-8,25,0.6666666666666666
89,15,-15,1.0
83,-18,-40,0.375
75,-15,-5,0.6666666666666666
76,67,30,0.0
84,38,30,0.2
58,9,10,0.0
105,46,5,0.0
100,21,-25,0.5161290322580645
92,-14,-20,0.0
58,-35,-40,0.0
60,-27,30,0.0
57,3,20,0.0
92,-21,-10,0.1111111111111111
92,10,35,1.0
72,11,-10,1.0
99,41,10,0.0
102,17,20,0.3333333333333333
100,18,10,0.5
105,38,-15,0.3333333333333333
102,5,-25,0.7083333333333334
92,-6,-5,0.5333333333333333
86,-70,-60,0.0
107,4,-30,1.0
100,-17,-25,0.0
86,1,-30,1.0
107,4,-15,0.4
100,25,10,0.625
102,26,10,1.0
56,-22,10,1.0
106,18,-5,0.38461538461538464
77,42,-35,0.0
100,-7,15,0.5833333333333334
93,-6,-40,0.0
102,49,-35,0.0
83,-10,-30,0.42857142857142855
44,-20,-25,0.0
102,26,0,0.7407407407407407
97,70,10,0.0
90,60,5,0.0
105,28,-5,0.4375
99,29,-15,0.5365853658536586
99,17,-15,0.5853658536585366
70,26,-10,1.0
76,2,-20,0.3333333333333333
103,31,10,0.5
89,-55,-130,0.0
51,-18,-15,0.0
94,34,-10,0.15384615384615385
102,20,-10,0.425531914893617
94,-18,0,0.25
88,-34,20,0.0
84,-13,-20,0.0
96,3,-10,0.6470588235294118
102,29,-15,0.88
98,26,-20,0.6190476190476191
82,21,0,0.45454545454545453
87,59,0,0.125
62,-9,-10,0.0
91,13,-40,0.9
95,13,-15,0.9629629629629629
101,1,-30,0.8
103,4,-30,0.8888888888888888
88,15,-15,0.875
91,38,5,0.058823529411764705
100,12,0,0.9090909090909091
63,28,30,1.0
76,-15,-40,0.0
82,30,-35,0.0
94,12,5,1.0
70,-17,-10,0.0
65,-3,-15,0.0
83,28,10,0.0
76,-1,30,1.0
80,58,30,0.0
87,29,-10,0.0
97,44,-10,0.0
86,67,5,0.0
91,65,-25,0.0
94,22,-5,0.03571428571428571
68,-54,-65,0.0
97,-8,-15,0.09523809523809523
85,12,-15,0.4166666666666667
77,50,25,0.0
87,34,20,0.0
96,43,-25,0.2857142857142857
86,-3,-45,0.5
81,-17,-35,0.3333333333333333
45,83,-130,0.0
97,-34,-55,0.0
92,38,-5,0.058823529411764705
100,22,-35,1.0
81,-69,-55,0.5
101,26,-15,0.7647058823529411
97,23,10,0.3076923076923077
81,55,25,0.0
90,48,20,0.08333333333333333
81,5,-15,0.42857142857142855
97,45,-20,0.0
101,15,-5,0.36363636363636365
76,20,-5,1.0
111,11,-40,1.0
58,49,-30,0.0
103,32,-10,0.42857142857142855
109,7,-5,0.8888888888888888
99,8,-15,0.5675675675675675
108,15,-15,0.8947368421052632
101,14,5,0.9310344827586207
60,-16,0,0.0
69,-23,-60,0.0
88,23,-15,0.4
95,4,-5,0.7631578947368421
85,20,-25,0.5
30,-39,55,1.0
92,-22,5,0.0
71,-40,-50,0.0
87,-10,-10,0.3076923076923077
97,29,5,0.2962962962962963
72,14,-5,0.8
93,1,-20,0.16666666666666666
82,1,-10,0.2857142857142857
82,17,20,1.0
90,46,-10,0.0
103,9,-10,0.9615384615384616
86,35,15,0.0
85,-35,-50,0.3333333333333333
107,19,-35,1.0
80,19,-20,1.0
88,32,10,0.0
85,-14,-10,0.3333333333333333
85,34,-15,0.0
97,-11,-40,0.13333333333333333
73,-39,10,1.0
77,-46,-5,0.0
100,29,-10,0.4878048780487805
102,35,-25,0.6428571428571429
103,29,0,0.7647058823529411
90,5,20,0.8333333333333334
92,-16,-40,0.2857142857142857
65,-2,-20,0.0
97,30,-10,0.15151515151515152
114,13,-10,0.0
89,50,15,0.14285714285714285
55,50,-20,0.0
99,28,-10,0.2972972972972973
88,-17,-40,0.5
85,-17,-10,0.1
89,18,-15,0.8333333333333334
104,-8,-35,0.6
99,18,-30,0.4782608695652174
100,5,-10,0.7804878048780488
79,34,-35,0.0
80,56,30,0.0
94,10,-10,0.8518518518518519
87,44,15,0.0
92,34,10,0.05
86,35,-5,0.0
101,19,15,0.42857142857142855
75,25,-25,0.4
65,-8,-30,0.0
72,43,-30,0.3333333333333333
35,-25,40,0.0
91,9,-45,0.6666666666666666
78,22,-10,0.6666666666666666
82,46,15,0.07142857142857142
100,20,-25,0.25925925925925924
75,6,-25,0.4166666666666667
91,2,0,0.6153846153846154
100,11,-40,1.0
97,39,-10,0.0625
104,-15,5,0.0
71,51,20,0.6666666666666666
90,5,10,0.4
101,22,-5,0.2564102564102564
31,-6,35,0.3333333333333333
75,38,-5,0.0
97,9,-5,0.8913043478260869
89,-4,15,0.42857142857142855
89,18,25,0.625
90,71,15,0.0
100,26,-30,0.9090909090909091
90,21,-35,1.0
109,9,-5,1.0
75,-8,-25,0.1
106,21,-25,0.8095238095238095
84,35,5,0.0
83,54,-10,0.0
95,9,-40,0.5882352941176471
96,12,-35,1.0
99,10,-40,0.5789473684210527
93,45,5,0.07692307692307693
77,48,10,0.0
84,-32,-35,0.0
87,36,-20,0.0
96,-12,-5,0.375
103,23,-5,0.41379310344827586
115,14,-20,1.0
104,35,-20,0.6470588235294118
100,17,-5,0.32
78,3,0,0.25
81,18,-40,1.0
91,20,-25,0.09523809523809523
102,-2,15,1.0
69,-20,-45,0.6666666666666666
91,-73,-35,1.0
101,2,-40,0.35294117647058826
110,20,-10,1.0
111,1,-25,1.0
103,-8,-10,0.25
107,5,-15,0.5
100,23,15,0.6
102,-7,-30,0.7142857142857143
95,-9,0,0.3076923076923077
66,57,25,0.0
87,-25,-40,0.0
41,-61,-20,1.0
108,-6,5,0.0
58,-22,-45,0.0
110,11,-35,1.0
96,-6,-35,0.38461538461538464
84,48,0,0.1111111111111111
93,28,20,0.2777777777777778
98,-1,-25,0.42857142857142855
82,-53,-15,0.0
93,-15,-20,0.07692307692307693
93,3,10,0.4166666666666667
84,36,20,0.0
83,68,45,0.0
101,-8,-20,0.12
77,21,15,1.0
90,-24,-45,0.0
91,12,10,1.0
94,38,-15,0.0
104,8,-20,0.5135135135135135
97,23,-30,0.7083333333333334
70,7,-15,0.0
82,51,25,0.0
73,-10,5,0.16666666666666666
94,-10,-45,0.3
88,3,-15,0.15
96,31,0,0.13793103448275862
83,6,10,0.6
84,47,-5,0.0
110,7,-30,1.0
103,14,-30,0.8275862068965517
93,4,5,0.13333333333333333
97,-3,-30,0.7647058823529411
99,-9,-25,0.3333333333333333
85,-15,-30,0.5384615384615384
62,26,10,1.0
102,-14,-10,0.25
69,47,-30,0.5
96,15,-35,1.0
81,-13,-50,0.5
100,-7,-35,0.36363636363636365
90,26,-25,0.0
89,19,20,0.0
102,24,5,0.6842105263157895
90,51,0,0.0
85,67,30,0.0
80,49,-15,0.0
101,19,25,0.8888888888888888
96,34,0,0.18518518518518517
104,8,-25,0.9487179487179487
32,-42,80,1.0
80,-42,-55,0.0
96,0,5,0.14814814814814814
89,17,-5,0.5625
75,-3,-5,0.5714285714285714
93,5,-40,0.7368421052631579
92,34,-10,0.0
88,27,-10,0.0
57,-46,-80,0.0
82,19,15,0.8181818181818182
89,37,30,0.0
88,-7,-45,0.14285714285714285
71,47,30,0.8
101,22,-15,0.625
83,-21,-35,0.5
90,-11,-5,0.7777777777777778
94,21,-10,0.12121212121212122
51,-44,-20,0.0
99,28,-35,0.9411764705882353
93,53,0,0.0
82,-34,-45,0.0
97,5,-10,0.68
43,16,0,0.0
80,44,25,0.25
98,30,-10,0.15625
95,10,5,0.7619047619047619
94,54,-35,0.0
84,-10,-15,0.2
96,8,-35,0.32142857142857145
82,-19,-10,0.09090909090909091
29,-84,145,0.0
73,77,-5,0.0
64,-8,-25,0.0
81,-18,-45,0.0
105,17,-30,0.6956521739130435
100,0,-45,0.6666666666666666
47,59,40,0.0
91,-17,-40,0.25
73,-63,50,1.0
95,41,-15,0.10526315789473684
103,47,-10,0.0
90,22,-25,0.0
103,26,-30,1.0
84,19,-25,0.8571428571428571
106,8,-5,0.9230769230769231
89,30,5,0.07142857142857142
75,77,0,0.0
104,27,-30,1.0
85,11,-10,0.8235294117647058
80,-8,-25,0.1111111111111111
99,-16,-45,0.0
96,7,-30,0.8
104,-14,15,1.0
91,50,25,0.0
76,26,-20,0.5
98,38,-10,0.10526315789473684
96,31,-20,0.37037037037037035
76,23,-5,0.8
99,21,10,0.3793103448275862
107,29,-15,0.8888888888888888
114,4,10,0.5
105,18,-35,0.9285714285714286
106,14,-40,1.0
87,61,10,0.0
91,28,10,0.08333333333333333
93,24,25,0.6666666666666666
105,22,15,1.0
93,46,5,0.07142857142857142
103,14,-15,0.9166666666666666
105,9,-5,0.9545454545454546
72,-18,-20,0.0
111,6,-5,1.0
105,16,-15,0.6875
106,2,-25,0.6666666666666666
95,7,-5,0.8823529411764706
103,20,-35,1.0
95,70,0,0.0
112,12,-25,0.6666666666666666
64,-1,15,0.0
79,-7,-25,0.15384615384615385
99,20,10,0.4230769230769231
100,24,15,0.8333333333333334
100,54,0,0.0
83,-31,-50,0.16666666666666666
100,23,-5,0.23255813953488372
89,-6,-30,0.6666666666666666
84,46,10,0.0
68,-5,-15,0.0
99,44,-5,0.0
93,6,5,0.2857142857142857
88,43,-15,0.0
101,16,-30,0.8571428571428571
74,52,15,0.0
96,38,-20,0.42857142857142855
91,50,10,0.0
61,-43,-20,0.0
35,-26,-10,0.0
92,10,-5,0.9523809523809523
95,-11,35,0.6666666666666666
89,-3,-40,0.16666666666666666
36,-43,75,0.0
99,8,-40,0.47058823529411764
88,-33,-40,0.0
107,21,-25,0.8636363636363636
77,59,5,0.1
64,-36,45,0.0
102,3,25,1.0
92,-14,-5,0.3333333333333333
105,7,-10,0.8857142857142857
72,-15,15,0.0
101,5,-40,0.5
53,-49,5,0.5
103,28,-30,1.0
72,67,10,0.0
94,-9,-50,0.3333333333333333
98,7,-30,0.85
98,20,0,0.23076923076923078
81,-24,-40,0.0
107,23,-25,1.0
102,23,-20,0.65625
91,42,5,0.0
75,18,-10,0.8571428571428571
73,-10,-50,0.0
92,-16,-30,0.6666666666666666
96,8,5,0.37037037037037035
103,1,5,0.19047619047619047
103,17,5,0.7307692307692307
68,38,-5,0.3333333333333333
104,14,-10,0.5
43,-46,-70,0.0
82,38,-15,0.0
60,16,0,0.5
108,39,-35,1.0
99,5,-10,0.8620689655172413
110,31,-20,1.0
111,-6,-15,1.0
89,18,-35,0.8888888888888888
73,5,10,0.3333333333333333
97,17,5,0.7435897435897436
15,-30,-35,1.0
91,49,15,0.0
104,-7,-10,0.6470588235294118
93,38,-20,0.2222222222222222
97,34,-20,0.2777777777777778
30,-32,50,1.0
96,41,-20,0.2222222222222222
91,8,35,0.5
94,-14,-15,0.045454545454545456
66,53,-20,0.0
96,9,-25,0.896551724137931
94,-8,-15,0.15789473684210525
97,-16,5,0.0
96,35,-35,0.75
102,-19,-10,1.0
51,-46,-95,0.0
70,17,-5,1.0
56,7,0,0.0
87,49,-15,0.0
88,52,-5,0.1111111111111111
71,78,35,0.0
66,42,15,0.0
97,27,-35,0.8181818181818182
82,55,30,0.0
86,6,15,0.6
102,4,-15,0.3548387096774194
82,-15,-20,0.0
37,-43,50,0.0
97,8,-5,0.9666666666666667
28,37,35,0.0
92,65,-15,0.0
101,25,-5,0.3448275862068966
82,9,5,0.3
100,30,15,0.4
96,-15,0,0.25
92,12,20,1.0
90,15,10,0.8333333333333334
109,14,-30,1.0
62,48,20,1.0
109,24,-25,1.0
87,30,-25,0.0
91,14,-15,0.9565217391304348
67,-66,-50,0.0
70,-44,-25,0.0
35,-73,120,0.0
83,60,-35,0.5
88,28,-30,0.0
86,13,30,1.0
83,-14,0,0.0
101,11,-30,0.9761904761904762
98,26,-5,0.2
90,39,-35,0.25
74,62,30,0.0
62,-22,15,0.0
102,18,-25,0.5365853658536586
106,14,-30,0.9090909090909091
86,0,0,0.5
26,5,-5,0.0
102,8,20,0.9166666666666666
96,21,-10,0.20930232558139536
83,40,-15,0.0
103,8,-10,0.8333333333333334
103,25,0,0.7368421052631579
91,20,15,0.05555555555555555
98,20,-15,0.6571428571428571
86,-1,5,0.14285714285714285
95,1,-35,0.3142857142857143
96,2,-30,0.8235294117647058
100,10,15,1.0
88,45,-10,0.09090909090909091
79,52,-5,0.0
97,8,-40,0.23809523809523808
90,-20,-30,0.25
96,27,-5,0.23076923076923078
83,-16,0,0.2
83,25,0,0.0
93,25,15,0.045454545454545456
95,3,-35,0.3
87,-12,-25,0.16666666666666666
68,2,0,0.0
92,24,-40,1.0
95,6,15,0.9375
88,-26,-10,0.25
88,-8,40,1.0
82,-51,-5,0.0
63,-46,-60,0.0
83,-9,-35,0.16666666666666666
96,51,0,0.0
85,23,-35,0.8333333333333334
93,10,15,1.0
95,24,5,0.3448275862068966
100,-2,10,0.5
93,5,-5,0.8571428571428571
108,13,-25,0.8333333333333334
59,-24,-20,0.0
77,-12,20,0.2
96,48,-35,0.0
55,-34,30,0.0
93,3,-45,0.7
85,0,0,0.14285714285714285
90,-23,25,0.0
94,58,-15,0.0
90,-10,15,0.25
85,-45,-30,0.0
98,1,-25,0.5862068965517241
78,53,-30,0.0
80,-19,45,0.0
97,28,-15,0.41025641025641024
66,21,-35,1.0
73,77,5,0.0
100,34,10,0.4
81,62,15,0.0
61,-70,-105,0.0
86,-12,-45,0.0
94,5,-20,0.2777777777777778
29,-10,-20,0.0
101,3,-10,0.8
109,10,0,1.0
95,30,-10,0.03225806451612903
63,3,5,0.0
96,21,-5,0.125
81,26,0,0.3333333333333333
100,30,5,0.4375
47,-17,10,0.0
83,39,0,0.0
59,24,15,1.0
106,17,-15,0.78125
97,10,-20,0.6111111111111112
102,12,-35,1.0
84,62,20,0.0
53,27,-15,0.0
98,3,10,0.6470588235294118
100,-1,-5,0.782608695652174
96,9,-15,0.6521739130434783
97,11,10,1.0
100,0,10,0.5454545454545454
43,-20,-45,0.0
48,38,0,0.0
37,-60,30,0.0
